Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
505	15.08519	-4.9432673	-9.142237	-8.759968	10.860706	-1.2460587	5.4799285	1.7759255	-3.447637	-0.69303614	2.054335	1.0897868	-0.014701352	1.5865817	-3.0002375	9.6425495	-13.075106	1.5392082	-7.028716	1.9907019	2.227632	0.9680905	-0.29372817
760	10.017074	-2.9986343	-8.394577	1.1209501	3.6259027	3.157021	-5.450931	0.5975277	5.541996	-4.7097626	-1.9605606	-9.447533	0.51530355	-1.3283058	-5.525423	1.9290414	1.717613	3.634777	9.985847	-1.1124004	-1.6994992	-3.5727832	0.023304068
944	18.12436	-6.567759	11.941633	2.9012148	1.2687315	4.949265	-13.125866	-8.316368	-7.267999	19.848787	18.12544	-6.9595194	2.1503482	-6.122917	-7.813325	0.016138298	1.6475434	-1.3861871	-2.8078263	-1.5209608	-1.1296673	-1.2029669	-8.72109
1060b	9.90191	-1.4277203	-5.8456383	0.47530225	0.37605435	2.2544436	-6.262056	0.89647925	0.61882836	-4.053236	0.08715211	-0.6080213	-2.068738	-1.4962388	12.672215	1.9685901	-2.053521	-0.93567073	-1.7779332	7.703325	5.8360724	2.8382735	0.68774617
1121	12.828752	4.4129558	6.916205	-6.3755016	-18.777155	-6.1807837	10.821118	-2.0537996	-9.097527	-6.557559	-1.1544113	-4.5957174	-2.0355332	-0.5525467	-1.1441393	-1.6986163	-1.3373257	2.1677437	-1.0847764	-1.2078352	-3.00404	-0.6422264	-1.5005519
1136	20.600918	-5.152659	23.84846	4.9904923	4.4180403	0.80204296	2.1721566	-0.23772904	-0.8638557	1.1265146	0.4110034	-0.21425217	-0.24632365	1.1855434	-1.3969893	-1.1754234	-2.0842175	-0.27984858	0.3705147	0.79630274	-4.47022	1.1041594	-0.26720765
20	10.742617	-2.3625534	-4.2761183	-0.09967885	-0.6028044	1.4412003	-4.5683804	-0.25004986	0.34707224	-2.3359814	3.5190587	-0.8420198	-0.17627059	2.2792387	7.008231	3.7866096	-3.0212872	-1.4027433	-2.5863495	-0.2068157	4.0809035	0.40117922	0.6846157
1158	20.420519	-11.19165	41.16886	9.313041	15.568661	-0.19875638	3.1631205	3.9032533	7.4466085	-0.7788966	-2.1493196	2.592014	0.52572393	1.3485827	0.91678363	0.4847987	0.10940043	1.451474	-0.018559791	-0.9137305	0.3686959	-0.507365	0.4709932
1176	17.079313	3.7347722	8.843117	-4.4307137	-23.650305	-7.643067	15.023318	-4.2169466	-17.94896	-12.607523	-2.1189184	-8.334792	-1.2915592	-0.9450715	-4.761926	-0.7358158	1.1849638	-0.56469786	-0.09140517	-3.1496081	3.3887389	0.56694263	-0.78240216
1556	8.142722	-1.4901053	-4.659877	2.9057043	-3.4078386	2.654631	-6.207286	0.117524765	0.39052597	-6.2830143	-3.295745	-1.4600546	-4.459702	6.3299165	12.058886	3.7329483	-2.2780516	1.1459291	6.7200036	3.3527105	4.1742764	1.138473	-5.825313
28	8.714162	-0.5757622	-3.3591347	1.7431954	-0.59639215	1.4095193	-4.149191	-1.917078	-4.413522	-3.5520432	2.4318414	2.7708776	-0.55910856	3.6321793	11.523398	3.8212738	0.64565295	2.5672479	4.304713	3.55387	5.926945	-2.1010633	-6.6797
223	12.189617	-2.241746	-4.6438103	-0.9839351	-10.325951	0.40782437	-4.6215677	-0.21013546	4.675766	5.442685	-14.126906	2.3160157	-2.330508	-2.7560127	6.9890556	-3.5410483	-2.232327	11.862502	2.8459816	2.7555308	-3.9617283	4.545335	5.9576125
701	7.913248	-1.2772827	0.5910139	4.897396	1.6451299	3.0282495	-7.6332984	-0.06959032	1.7311405	-6.016219	-1.1090406	4.0279756	-0.6485222	6.3649197	8.431957	2.3216	-1.7260739	1.386733	7.7687764	2.4736547	-3.604079	2.099911	-2.6872075
792	4.290137	0.9621625	-5.165067	4.897279	-3.0246196	2.5071454	-8.215722	-1.5406024	-0.8005793	-13.946878	0.90722764	0.12926699	2.4495182	11.700485	17.413637	11.297739	-0.40746033	-10.801964	14.580608	-5.3526874	1.0453657	-26.375578	6.423323
952	14.015758	-1.7290779	-2.5557666	0.23192401	-2.262645	2.606574	-6.6722536	-3.833377	-0.1406964	4.0497737	0.41830042	1.8787735	2.2992756	-1.7889111	-1.6796196	-0.42455608	-1.3879853	-4.8828735	-4.3498936	-1.5600256	-6.0942726	1.8334517	-0.18956615
1063	13.466775	-5.8635087	-11.623372	-8.77385	11.509588	-1.0410676	3.703641	2.2761376	1.9268308	-0.48613575	6.3926854	-3.5617511	-2.3476627	-1.3093002	15.970111	-12.501849	10.970855	-5.730234	-9.499237	9.598458	7.916018	2.8459616	-9.521847
1123	18.528452	-11.228673	38.793804	8.727234	15.117405	-0.41291043	3.0656073	3.7836585	7.289025	-0.68479216	-1.9216087	2.3727372	0.3154185	1.2200837	1.027451	0.67545295	0.3521281	1.5031672	0.25192356	-0.8716208	0.5789727	-0.7053137	0.5066375
1137	19.157232	-11.225071	39.841637	9.013463	15.084553	-0.29117423	2.9611478	3.7087164	7.0613484	-0.7701777	-1.8806144	2.441889	0.519755	1.4172378	1.0111974	0.6686869	0.3231996	1.4348255	-0.025323002	-0.7831485	0.59787774	-0.42748144	0.6226034
22	16.59514	-2.513797	0.5890692	0.34585512	-0.36504832	3.472036	-7.1917934	-2.090187	0.0052426914	1.6114807	-1.0356388	3.416796	1.6170882	-2.4759438	5.8495975	-0.37964034	-2.4716966	-7.658947	-9.5486965	-3.13704	-4.3427086	4.454896	2.8633173
1160	19.578854	-11.290621	39.96643	9.179236	15.208417	-0.3564699	3.1941993	3.8650115	7.3900433	-1.032478	-2.1845734	2.4223368	0.4536483	1.4774929	0.7948122	0.4921273	0.24833708	1.5025625	0.34629482	-0.7702113	0.41336915	-0.5496238	0.4098699
1184	14.333926	1.8362802	7.543219	-5.7389126	-24.177761	-9.681199	16.780382	-2.4502506	-16.088068	-12.668243	-3.813654	-6.559069	-2.2542872	-0.63679075	-4.724432	1.4905497	3.378381	2.835952	-2.1315684	-10.40475	12.755637	-1.7879394	-5.174721
1564	14.342801	-7.15644	-11.705969	-11.961549	11.846081	-4.2926903	9.100436	0.35075188	-5.3080387	4.330743	2.5079715	3.6415088	1.0590955	3.0731153	-6.771368	6.6986775	-3.0474203	-2.1155088	3.913076	-2.913201	-3.8292575	-2.8949254	2.3034008
30	12.099216	-4.135242	-11.66599	-4.1917267	11.984624	3.8455274	-5.7513165	3.4609344	14.822358	-12.192521	-1.2416611	-23.149563	1.1807091	-8.482464	-7.781274	-3.147582	3.3280115	4.5666375	4.4642687	-3.3980083	-2.8578246	-0.19459501	0.99819934
264	9.804653	-1.3418515	-6.167257	2.8980417	0.7460016	2.1951067	-5.4530005	-1.5573719	-4.3664336	-6.5034323	0.95677143	0.6032949	-2.0057518	8.603004	12.654542	5.214323	-4.139178	-0.14760074	9.361411	5.4263144	0.8473526	3.7600644	-4.960314
702	8.207771	-1.0247555	-5.5153947	1.4061741	-0.9925251	2.0832248	-6.7200165	-1.82703	-2.040707	-0.4871401	0.0042284713	1.8561974	-1.7816567	1.7047493	7.338253	1.8460469	-0.68489146	-0.58009106	3.1389666	0.86688256	3.1749978	-0.15101473	0.109862156
797	13.206877	-3.3123546	-2.657238	-2.0780485	-7.3690214	-0.017034635	-3.4925003	-0.44761434	3.9925132	4.9464273	-11.944141	2.1664813	-0.9273932	-5.114628	-0.22008905	-2.4377503	3.4223971	4.963569	5.687197	5.9243317	1.8464755	-1.6546986	-0.6871858
961	15.6414385	-0.2885162	-1.9619558	0.37159365	-5.851589	3.7569973	-6.2731447	-4.337865	-6.0188017	2.8997376	2.8515594	-2.2300615	-1.6361887	-0.228348	5.9764485	-2.857534	-5.0315194	4.7971663	-0.50811994	-1.6235598	-1.1338241	-0.47893322	4.9388947
1066	14.450484	-5.551422	-11.537974	-8.8102455	11.360079	-0.7805286	3.873382	2.1935773	1.7518808	-0.5235055	6.459572	-4.107902	-2.2540922	-1.7195376	16.246746	-12.713011	10.372843	-6.247681	-9.707852	9.966749	7.5787735	2.9628022	-9.000082
1125	20.719147	-11.017523	40.91041	9.358804	15.478873	-0.058993366	3.1597583	3.7862375	7.3028107	-0.81922865	-2.0601432	2.5233104	0.54408145	1.3135564	0.87078124	0.53617513	-0.10316901	1.4424149	0.08442327	-0.92238027	0.23689672	-0.4158766	0.45652816
1138	18.492298	-11.279803	38.502323	8.460053	14.911576	-0.43609765	2.9362648	3.6208093	7.0480204	-0.74783707	-2.0354404	2.5669582	0.21321698	1.3530633	1.1937963	0.8884858	0.23900875	1.3566711	-0.04091938	-0.8043122	0.53345084	-0.34113303	0.29881537
23	9.19559	5.6359506	-2.2918057	4.5337625	-3.0870361	4.5424957	-7.8939176	-2.110463	-3.6024494	-4.5339575	1.3672018	3.0241969	-0.9459141	5.3510413	-1.6283461	-4.405036	-1.9348769	1.8034494	-0.16821341	1.4032186	-2.167755	2.3863728	-0.09033682
1167	18.407969	1.3674603	8.611319	-3.3867443	-19.597715	-7.048448	12.570602	-6.573919	-19.843742	-10.2090845	4.8830934	-11.760407	1.2340225	-2.3037987	-5.1592984	-1.6505914	1.7824267	-7.5492897	4.094823	12.568427	-7.2915845	3.2910478	9.947125
1186	21.742342	-5.702135	31.780954	5.0432487	3.9277766	-1.4077458	7.0341663	1.9070961	0.21890372	-3.580999	-3.1772723	0.07267734	0.049897518	0.508732	-0.587562	-2.0617251	-1.0262747	1.4034802	-1.4768838	-2.1186306	0.35272744	-0.08772185	-0.41139314
1580	14.921706	-7.556718	-13.0703945	-13.431665	16.715267	-3.8906853	11.905965	1.7378765	-5.7067547	8.193503	-0.4351622	10.1303625	-3.913467	5.052513	0.93409806	-7.834743	6.5139036	3.0448136	8.823709	1.5119747	-5.4258013	0.29313472	-1.9401188
32	15.691485	-2.3019176	4.035166	2.7492561	-2.3134606	4.8987	-10.584207	-4.287367	-2.3614573	9.528198	8.103488	-1.7697114	1.4642329	-1.9737879	-2.9702692	-1.089779	-0.62000394	-3.1563818	-4.008373	-4.5950127	-3.626679	3.7346046	-5.174976
265	15.544901	-6.0805626	-5.4078326	-8.65555	6.253928	-3.0223432	5.5947857	-2.04824	-5.492076	6.4014354	-1.5971972	7.8970094	-0.18527237	-0.0095992545	8.014143	-9.820769	13.798464	-8.166552	-4.725409	6.203556	7.3621163	2.0635505	-6.9897485
728	4.7054324	1.2955213	-5.14422	4.777521	-3.1840272	2.6591346	-8.309828	-1.5466841	-0.65501416	-14.277361	0.9719115	0.10343217	2.6774335	11.627728	17.545479	11.281447	-0.54784673	-11.033676	14.527528	-5.3263006	0.91150093	-26.565575	6.550513
798	4.7312264	6.283387	-7.182962	12.550926	-1.1696514	6.261984	-10.098378	-0.15872198	-2.9937525	-15.955152	3.2746491	9.459562	-0.56738734	17.303137	-12.583691	-14.728906	-3.3130007	4.399245	-7.9034667	4.026117	0.5920898	-0.51088643	1.2625159
1043	19.045692	-11.073921	39.201992	8.998434	14.984929	-0.20990773	2.7480006	3.806647	7.21191	-0.56832695	-2.0363014	2.3133337	0.26863143	1.4342885	1.2658353	0.5905796	-0.03472852	1.5512787	0.016089963	-0.6944419	0.36219868	-0.51513046	0.46227342
1069	12.481357	-2.156848	-2.7029126	-1.3038435	-7.5300756	0.5563533	-5.368448	-2.6146567	5.4444447	4.1093216	-16.32872	6.6282625	4.239516	-11.858875	-11.654359	2.4423654	6.4127398	-4.037002	4.0619135	5.8591566	13.771853	-2.9643333	1.9190824
1128	18.94456	-11.29656	39.329857	8.887427	14.972293	-0.56601363	2.909476	3.6685777	7.072357	-0.947325	-2.0639634	2.2694552	0.40463158	1.4071382	0.94226426	0.7446642	0.2127761	1.427965	0.21280514	-0.8751284	0.81390804	-0.5700995	0.4848871
1140	18.530033	-2.7227023	18.262608	1.7353117	-6.0399117	-3.6294239	7.6041327	-4.301997	-11.844372	-6.742712	4.880322	-8.2789345	1.6720928	-0.37899742	-4.111557	-1.4762557	-0.09168001	-7.5090427	3.2300832	12.95628	-8.019695	3.4325666	9.382846
24a	10.981418	-1.8751488	-1.2202994	1.1879224	-2.9079497	1.7979852	-7.346773	-3.7219982	-4.692696	1.8407565	10.351526	-3.6812475	0.10605202	0.40889728	4.7368083	5.30261	0.29374817	0.929832	3.1049442	3.1888566	0.20306547	-3.7164068	-11.197601
