GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
P49	10.09	6.75	10.01	16.03	0.96	7.93	3.90	0.34	0.205733346	0.167305041	0.204899389	0.739	1.139	643.851
P69	9.99	14.69	4.56	11.80	0.97	6.31	3.90	0.25	0.204675213	0.250399395	0.136976464	0.963	0.939	536.838
2965a	11.44	12.82	7.44	11.22	0.96	5.82	3.70	0.24	0.219616737	0.233120268	0.175917207	0.974	0.955	529.462
3027	10.68	19.33	13.50	10.94	0.96	5.67	3.91	0.22	0.211981875	0.289781046	0.239556107	0.860	0.947	521.907
3068	18.52	16.21	51.18	16.68	0.97	9.25	3.91	0.36	0.283208107	0.263803907	0.507537161	0.968	1.356	711.838
3091	11.56	7.74	3.82	15.58	0.97	8.28	3.93	0.34	0.22085625	0.179495068	0.125203551	0.908	1.326	678.048
3099	9.73	26.48	18.33	14.19	0.97	7.51	3.91	0.30	0.201982595	0.344134693	0.28163134	0.915	1.214	624.340
P7	9.62	12.38	5.70	17.27	0.97	9.44	3.92	0.37	0.2008057	0.228911487	0.153449708	0.922	1.350	720.222
P21	9.09	7.99	10.68	15.14	0.96	7.74	3.71	0.32	0.194994183	0.182386955	0.211937282	0.873	1.132	624.407
P35	7.32	17.78	3.84	20.33	0.97	11.82	3.93	0.47	0.17438368	0.277103959	0.125562121	0.610	1.695	892.049
2905	10.97	9.84	4.13	16.28	0.96	8.17	3.94	0.35	0.214948174	0.203156463	0.130270252	0.635	1.153	654.358
P50	9.87	10.41	28.04	12.77	0.97	6.86	3.92	0.26	0.203418628	0.20911731	0.355259833	1.004	1.106	574.904
P311	11.99	5.84	42.94	19.83	0.95	8.49	3.94	0.43	0.22506929	0.155390029	0.454877262	0.467	1.291	758.500
2965b	7.79	6.40	5.12	10.77	0.96	5.59	3.86	0.22	0.180135329	0.162816534	0.14535127	0.839	0.808	504.711
3029	17.62	14.15	9.95	10.36	0.97	5.70	3.79	0.23	0.275779689	0.245486657	0.204317263	1.197	0.957	528.931
3082	21.74	31.05	6.95	16.90	0.97	9.17	3.89	0.37	0.308830677	0.376264584	0.169810237	0.919	1.320	711.697
3092	11.97	18.26	47.32	13.23	0.97	7.21	3.88	0.28	0.224919178	0.281102477	0.482905793	0.953	1.271	619.150
3103	9.67	15.62	11.68	12.01	0.96	6.06	3.74	0.27	0.201355092	0.258626056	0.222062788	0.886	1.033	565.759
P13	15.77	15.64	4.78	16.97	0.96	8.68	3.93	0.38	0.259967035	0.25882151	0.140369386	0.781	1.347	723.232
P22	10.00	7.06	48.77	11.47	0.97	6.08	3.71	0.25	0.204864042	0.171200272	0.492197871	1.110	1.000	546.454
P37	8.06	8.29	6.18	16.60	0.96	8.64	3.94	0.36	0.18328306	0.185922002	0.160002979	0.836	1.255	690.561
P621	12.44	11.83	4.26	12.21	0.97	6.63	3.91	0.26	0.22945383	0.223573388	0.132282637	0.995	1.122	575.552
P633	8.90	12.89	4.18	11.85	0.97	6.79	3.89	0.24	0.192906412	0.233769922	0.131012328	1.252	1.072	558.117
P645	8.33	9.55	55.80	12.29	0.96	6.42	3.86	0.26	0.186380572	0.200010407	0.537014454	0.846	1.027	554.775
P657	12.13	5.57	3.54	16.94	0.96	8.93	3.92	0.36	0.22647291	0.151684632	0.120428781	0.850	1.279	693.521
P669	11.14	12.41	44.96	17.58	0.96	8.65	3.92	0.38	0.216678379	0.22914735	0.467869102	0.663	1.277	704.676
P624	11.79	11.35	10.43	9.20	0.96	4.72	3.57	0.19	0.223155125	0.218799752	0.209397923	0.825	0.653	467.695
P634	9.66	15.64	19.20	10.34	0.96	5.03	3.92	0.22	0.201233952	0.258841413	0.288739588	0.763	1.010	522.378
P646	10.35	7.15	17.07	10.06	0.96	5.12	3.66	0.21	0.208560278	0.172278171	0.271125217	0.718	0.786	491.707
P658	19.63	6.39	61.89	12.69	0.96	6.54	3.90	0.26	0.292213753	0.162645329	0.576425588	0.785	0.982	554.745
P670	9.95	5.73	12.33	16.62	0.96	8.40	3.78	0.36	0.204323118	0.153819963	0.228372073	0.784	1.180	673.381
P626	13.35	11.34	45.39	11.39	0.97	6.05	3.58	0.24	0.238078345	0.218692731	0.470625893	1.064	0.903	525.948
P636	13.25	12.17	40.21	8.27	0.97	4.39	3.74	0.18	0.237173876	0.226853172	0.437245008	1.102	0.721	472.831
P647	11.08	6.91	8.51	14.65	0.97	7.94	3.93	0.31	0.216000262	0.169390901	0.188443083	1.027	1.178	631.728
P659	14.43	12.88	37.90	14.49	0.96	7.51	3.91	0.32	0.248058314	0.233667156	0.422190935	0.812	1.104	615.375
P671	10.03	11.85	13.48	15.69	0.97	8.57	3.91	0.33	0.205121998	0.223771704	0.239335138	0.998	1.216	656.720
P627	10.46	9.16	23.49	10.00	0.96	5.19	3.74	0.21	0.209673695	0.1957241	0.322107545	0.924	0.719	489.884
P638	8.26	7.17	5.36	11.54	0.96	5.92	3.75	0.24	0.185619898	0.17253753	0.148755336	0.856	0.950	535.373
P648	11.24	10.99	24.78	9.23	0.96	4.87	3.52	0.20	0.217668085	0.215074623	0.331717533	1.029	0.712	477.732
P660	13.52	5.95	24.99	9.09	0.97	4.59	3.94	0.19	0.239737115	0.156812344	0.333283043	0.615	0.748	480.491
P675	9.45	13.87	49.66	17.66	0.96	9.32	3.93	0.39	0.198917978	0.242986994	0.497841841	0.779	1.485	746.399
P628	12.30	12.07	44.81	10.44	0.97	5.99	3.91	0.22	0.228112241	0.225886558	0.466893432	1.243	0.855	509.263
P639	12.07	9.44	23.96	11.96	0.97	6.29	3.75	0.25	0.225916084	0.19876241	0.325652575	0.987	0.944	542.632
P649	10.65	13.04	42.95	15.56	0.96	7.85	3.75	0.33	0.21162752	0.235158947	0.454969867	0.816	1.192	648.118
P661	9.29	8.60	12.97	12.17	0.97	6.57	3.91	0.26	0.197189398	0.189477004	0.234531615	1.016	0.999	554.453
P691	7.99	15.96	26.37	14.12	0.96	7.20	3.93	0.31	0.182456638	0.261607751	0.34331555	0.772	1.154	623.804
P629	9.07	19.87	5.30	12.05	0.96	6.43	3.76	0.26	0.194760461	0.294157865	0.14788571	0.961	0.973	549.914
P640	14.29	8.03	40.45	10.96	0.97	6.21	3.92	0.23	0.246787048	0.182888732	0.438858393	1.245	0.914	521.917
P650	10.13	9.98	26.85	12.78	0.96	6.85	3.88	0.27	0.206234609	0.204616728	0.346784696	0.940	1.092	574.800
P662	10.96	6.90	4.26	12.67	0.97	6.80	3.86	0.27	0.21481237	0.169233516	0.132359844	1.113	1.010	563.562
P55	25.73	16.19	11.14	14.72	0.97	7.72	3.93	0.31	0.338655354	0.26364488	0.216639333	0.921	1.136	619.241
P630	15.87	12.14	47.63	10.12	0.97	5.72	3.68	0.21	0.260870138	0.226607145	0.484907446	1.388	0.834	504.164
P641	10.30	12.09	6.90	10.49	0.97	5.91	3.92	0.22	0.208003312	0.226068973	0.16924441	1.186	0.872	510.549
P651	21.53	5.67	5.83	11.32	0.96	5.98	3.91	0.24	0.30716325	0.153011074	0.155281643	0.934	1.024	542.189
P665	12.41	15.33	4.14	17.01	0.97	9.39	3.93	0.36	0.229211521	0.256068531	0.130502674	0.927	1.362	711.374
P632	12.48	8.86	3.93	11.33	0.97	6.08	3.75	0.24	0.229877954	0.19242275	0.127027478	1.092	0.933	531.999
P643	10.33	14.33	4.40	12.51	0.96	6.35	3.85	0.26	0.208352967	0.247171263	0.134594481	0.715	0.970	549.495
P656	10.65	12.41	48.36	16.48	0.96	8.52	3.92	0.35	0.211626556	0.229231011	0.489565305	0.788	1.256	681.255
P666	14.07	5.31	8.26	17.40	0.96	7.61	3.94	0.37	0.244779766	0.148034481	0.185639742	0.859	1.218	688.476
