GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
2088	14.52	28.27	7.12	15.73	0.96	8.29	3.92	0.33	0.248850286	0.356915116	0.171960467	0.877	1.252	661.700
2208	9.79	14.07	59.53	8.76	0.97	4.67	3.39	0.19	0.202560492	0.244770488	0.561032746	1.281	0.625	467.143
2294	10.75	10.05	14.75	12.77	0.96	6.56	3.64	0.28	0.212639974	0.205384672	0.250941212	0.981	0.977	565.883
2329	8.69	8.98	4.45	8.97	0.98	5.16	3.70	0.20	0.190504128	0.193719675	0.135271562	1.582	0.775	490.663
1945	18.14	15.00	11.23	11.57	0.97	6.24	3.91	0.24	0.280078045	0.253183311	0.217500287	1.123	0.926	530.984
2378	11.25	5.88	5.21	16.09	0.97	8.84	3.92	0.36	0.217779879	0.155864153	0.146633541	0.962	1.332	703.130
2478	10.42	12.77	18.96	11.67	0.96	5.88	3.58	0.24	0.209285982	0.232626159	0.286804043	0.807	0.878	522.832
2633a	8.65	7.89	11.32	14.05	0.97	7.73	3.91	0.29	0.189994101	0.181302604	0.218473604	1.048	1.149	607.656
1976	8.37	11.72	16.33	10.30	0.97	5.50	3.92	0.22	0.186817329	0.222484768	0.264805396	0.978	0.960	518.651
1984	9.14	6.31	4.30	16.84	0.96	8.76	3.81	0.36	0.195515314	0.161677273	0.133020474	0.861	1.251	684.909
2009	10.09	11.50	34.14	13.71	0.96	7.11	3.93	0.29	0.205751085	0.220305571	0.397267074	0.849	1.061	584.069
2064	14.37	9.52	36.36	11.80	0.97	6.55	3.93	0.24	0.247501863	0.19968246	0.41203494	1.088	0.967	540.326
2095a	10.24	30.25	6.99	8.02	0.97	4.28	3.92	0.19	0.207371288	0.370738351	0.170384695	1.308	0.862	491.787
2212	10.84	12.09	6.58	12.35	0.96	6.38	3.78	0.26	0.213569931	0.22609015	0.1651324	0.813	0.951	543.085
2299	14.23	17.92	8.92	11.76	0.97	6.23	3.76	0.25	0.246280637	0.278253632	0.193095668	1.028	0.978	543.509
2342	8.88	13.81	4.16	15.35	0.96	7.71	3.92	0.33	0.192601378	0.242374882	0.130773642	0.733	1.244	652.778
1951	13.54	5.29	11.33	14.01	0.96	7.22	3.91	0.29	0.239934967	0.147700152	0.218594138	0.802	1.054	587.192
2383	9.90	5.59	13.42	12.42	0.96	6.37	3.91	0.26	0.203753935	0.151899276	0.238801981	0.844	1.119	571.901
2486	17.71	14.31	38.70	14.06	0.96	7.25	3.94	0.30	0.276526566	0.246953897	0.427446215	0.870	1.089	600.408
2633b	17.01	6.72	5.32	11.23	0.97	5.86	3.75	0.24	0.270602187	0.166958596	0.148115355	1.058	0.976	539.999
1978	15.43	9.48	52.49	12.75	0.97	6.78	3.45	0.28	0.257035428	0.199300686	0.51586867	1.168	0.922	556.820
1985	7.74	14.10	8.02	11.25	0.96	5.82	3.81	0.23	0.179449555	0.245069528	0.182825195	0.818	0.894	517.473
2017	10.88	11.51	22.10	11.21	0.97	6.26	3.85	0.23	0.213980251	0.220378869	0.311585285	1.215	1.030	540.749
2065	10.18	10.45	4.18	13.41	0.97	7.09	3.92	0.28	0.206717319	0.209576915	0.131071645	0.952	1.067	582.409
2095b	11.10	16.55	11.25	15.88	0.96	8.07	3.87	0.35	0.216202658	0.266728662	0.217744433	0.864	1.227	670.006
2223	16.60	21.86	50.76	9.80	0.97	5.40	3.53	0.20	0.267108059	0.309738579	0.504826982	1.219	0.771	489.575
2301	12.28	6.94	18.73	12.17	0.96	6.40	3.76	0.25	0.22789031	0.16973317	0.284936132	0.882	0.902	533.905
2343	10.51	7.38	12.10	14.33	0.96	7.10	3.92	0.30	0.210212071	0.17518034	0.226141321	0.683	1.198	620.887
1956	18.79	10.43	42.72	13.86	0.97	7.29	3.93	0.29	0.285450325	0.209311241	0.453511132	0.911	1.040	589.350
2408	7.54	6.94	27.61	10.78	0.96	5.46	3.74	0.22	0.177096548	0.169709959	0.352212873	0.725	0.908	514.320
2551	8.56	28.04	7.87	14.55	0.97	7.77	3.80	0.31	0.188974346	0.355240157	0.180976853	1.009	1.205	633.798
2646	9.81	10.63	6.84	8.44	0.97	4.60	3.75	0.19	0.202819302	0.211439522	0.16843191	1.335	0.803	486.650
1979a	8.43	6.07	58.34	12.48	0.97	6.62	3.89	0.26	0.18748374	0.158432831	0.553322023	0.997	0.984	555.213
1990	11.69	11.59	11.50	13.47	0.96	6.94	3.87	0.28	0.222178474	0.221142058	0.22025226	0.895	1.031	578.106
2022	8.77	15.28	11.19	12.11	0.97	6.53	3.68	0.25	0.191371728	0.255638015	0.217137957	1.116	0.945	542.679
2076	13.37	14.39	6.16	10.82	0.97	5.74	3.49	0.22	0.238304307	0.247664572	0.159722515	1.095	0.674	492.607
2114	10.95	10.51	64.36	10.85	0.96	5.61	3.42	0.23	0.214711161	0.210147454	0.592742521	0.929	0.709	495.473
2224	15.41	10.88	11.67	10.03	0.97	5.71	3.47	0.22	0.256860235	0.21404326	0.221900018	1.446	0.723	495.991
2309	12.97	20.30	2.97	14.35	0.97	7.54	3.90	0.30	0.234541537	0.297547041	0.110250382	0.932	1.148	612.280
2350	12.78	16.70	4.50	16.85	0.97	9.69	3.87	0.36	0.232753256	0.2679684	0.136034775	1.051	1.311	701.958
1958	10.16	12.75	19.70	13.02	0.97	7.51	3.90	0.27	0.206529314	0.232429097	0.292787605	1.268	1.064	580.384
2428	8.69	5.60	28.96	13.73	0.97	7.56	3.91	0.29	0.190549936	0.152111981	0.36173015	1.010	1.167	607.560
2560	9.12	28.54	6.67	18.70	0.97	9.98	3.91	0.43	0.195329731	0.358790591	0.166347562	0.813	1.448	787.099
2653	10.10	11.47	7.35	12.31	0.96	6.42	3.73	0.26	0.205910454	0.219963175	0.17477489	0.890	0.984	549.751
1979b	10.38	6.26	4.53	13.81	0.96	7.29	3.82	0.29	0.208829882	0.160979971	0.136584882	0.950	1.098	590.698
1991	9.35	13.73	40.50	13.04	0.96	6.43	3.84	0.27	0.19780803	0.241633163	0.439172415	0.777	0.988	558.666
2024	13.42	8.44	47.40	17.72	0.96	9.14	3.75	0.38	0.23877678	0.187631159	0.483452658	0.800	1.316	716.177
2078	12.40	10.67	6.12	14.53	0.96	7.35	3.91	0.31	0.229107032	0.211801401	0.159084649	0.833	1.138	614.172
2142a	11.55	12.63	47.33	14.44	0.96	6.85	3.92	0.32	0.220804024	0.231264164	0.482994379	0.867	1.187	631.108
2229	9.68	7.94	14.67	10.75	0.96	5.64	3.81	0.22	0.201377007	0.181867684	0.250268487	0.880	0.825	504.444
2310	10.04	13.15	33.68	12.22	0.97	6.75	3.77	0.25	0.205263199	0.236209388	0.394156147	1.149	1.053	559.226
2354	8.93	6.43	30.20	10.05	0.97	5.46	3.75	0.21	0.19324273	0.163263748	0.370381585	1.129	0.881	505.045
1966	10.58	11.54	17.99	13.38	0.97	7.45	3.90	0.28	0.210877739	0.220653422	0.278837835	1.134	1.086	587.618
2444	9.52	11.60	58.21	11.46	0.97	6.63	3.86	0.24	0.199693629	0.221220446	0.552486786	1.262	1.037	552.054
2575	16.10	9.53	43.53	11.72	0.97	6.37	3.91	0.26	0.262863671	0.199817624	0.458685265	1.159	1.039	560.375
2665	11.28	24.18	23.58	14.92	0.96	7.52	3.75	0.35	0.218028981	0.327272772	0.322813087	0.913	1.181	664.715
1980	8.19	5.76	17.77	9.35	0.96	4.88	3.39	0.21	0.184812262	0.154286231	0.277023204	1.053	0.621	476.510
1992	11.35	12.82	7.87	9.92	0.96	5.01	3.91	0.23	0.218787349	0.233162219	0.181050539	0.830	0.936	522.653
2027	10.66	9.21	9.04	13.81	0.96	7.19	3.76	0.29	0.211721247	0.196242271	0.194472288	0.939	1.029	582.735
2079	8.94	7.21	4.23	11.33	0.97	6.26	3.83	0.24	0.193293473	0.173042421	0.131836748	1.228	0.965	538.633
2142b	10.42	9.23	4.21	10.76	0.97	5.73	3.91	0.25	0.209272	0.196509821	0.131577078	1.176	1.038	552.638
2237	10.15	8.06	35.72	11.02	0.97	5.84	3.70	0.23	0.206370187	0.183262493	0.407832084	1.071	0.908	521.374
2322	9.11	9.47	54.02	13.04	0.96	6.70	3.91	0.27	0.195189209	0.199162498	0.525610615	0.737	1.005	560.398
2360	10.06	7.81	22.84	18.53	0.96	9.43	3.92	0.40	0.205432122	0.18034347	0.317193964	0.670	1.426	759.595
1973a	9.22	9.36	37.53	12.41	0.96	6.41	3.37	0.26	0.196364062	0.197942919	0.419793873	1.025	0.822	528.055
2445	13.26	8.41	53.86	13.44	0.96	6.88	3.92	0.28	0.237308642	0.187330472	0.524620646	0.708	1.056	578.102
2576	11.25	8.92	17.78	9.84	0.96	5.10	3.58	0.21	0.217748743	0.193120881	0.27708643	0.868	0.676	480.854
1981	8.66	6.89	4.18	11.34	0.97	5.90	3.75	0.24	0.190103679	0.169068051	0.131008503	0.996	0.890	527.280
