factor(envID)4 factor(envID)5
0.3941724 -0.7852112
1.236911 -0.4864046
1.150207 0.3101942
1.975348 0.09626847
1.145365 0.5313787
1.655107 0.7317125
3.102385 1.932635
3.225363 1.141364
2.982404 0.6461945
3.154897 1.112719
3.952242 3.360167
3.778146 2.1488
3.676346 2.278615
3.700268 1.776246
2.630863 1.465538
2.151689 0.9452572
1.599179 -0.2496176
1.897401 0.9033006
1.392052 -0.3323093
0.7945211 -0.6820217
0.7890418 -0.2055984
1.95834 0.6282234
1.887847 0.0540168
1.331777 -0.2295439
0.5778641 0.1627937
0.4479209 -1.097458
0.2765597 -1.294709
-0.1248284 -1.485747
-0.3224964 -1.11394
0.6595102 -0.6935251
0.6943596 -1.028576
0.6934653 -0.6888911
1.154575 0.399094
2.484012 -0.486623
1.416105 -0.3858462
2.954885 0.8477891
2.82256 1.347062
3.027532 1.511138
3.083324 2.046754
3.446851 2.150355
4.333235 3.079998
4.971802 2.894071
3.939639 3.352415
5.519845 4.037868
6.066524 4.843965
6.498771 5.08742
5.416406 4.456025
4.819828 3.964213
5.523443 4.920575
5.54198 3.461179
5.459246 3.869384
4.407361 3.048349
4.716131 2.621037
5.429889 4.591037
5.446621 4.096753
5.463085 4.623401
6.558279 5.397215
7.005453 6.303755
7.733182 5.233397
8.017701 6.362725
9.242018 8.171971
10.19626 7.819844
11.4341 9.769547
11.33636 10.56824
10.53517 9.03732
9.708258 8.451248
8.976037 7.880077
9.521461 8.31329
8.638831 7.006748
9.738445 8.827547
9.624651 8.092479
9.16788 7.864932
11.06326 9.443019
10.88569 9.13884
9.335377 7.456108
8.192634 7.388797
9.581763 8.051511
10.19228 8.619347
8.994305 7.574252
9.039271 8.253485
8.359534 7.242064
9.557339 8.597696
10.27305 8.991843
9.627705 8.228704
10.48494 8.502408
10.43458 8.704659
10.70065 8.825147
11.63065 9.654885
11.06849 10.11763
11.52548 9.680676
11.05797 9.64827
10.65992 9.296927
10.96403 9.598789
10.52588 8.849976
10.55174 8.275326
10.37973 8.686523
10.68897 9.858269
11.5401 9.819428
10.75558 9.095014
10.49616 9.680968
10.4842 8.925897
8.935239 7.575056
8.614655 7.36932
8.856832 7.636971
8.307383 6.985722
7.690726 6.401509
7.474755 6.014146
7.548344 6.565024
6.807042 5.379018
6.705431 5.142304
6.443304 5.190017
6.661522 5.064892
6.960867 4.936484
