factor(envID)4 factor(envID)6
-1.354951 0.146382
-0.7728205 0.6698663
-0.1300016 1.00353
-1.055362 1.001928
0.1903701 1.543653
1.43657 2.24306
2.21961 2.915918
3.11877 5.733305
1.919332 4.828796
2.349319 2.998522
1.472614 3.961671
2.394057 3.172395
4.276873 4.0943
4.22145 5.383927
2.545692 4.70199
3.269576 5.2913
3.803124 5.641693
3.451486 4.762032
2.157033 4.257283
1.973545 3.754551
1.732396 3.045196
1.62831 2.727174
1.202558 2.624359
2.380186 2.738613
2.030361 2.852303
1.169211 2.313651
1.478607 3.534259
0.8916828 2.904928
2.695901 4.127921
4.160318 5.152417
5.399968 7.052857
5.948063 7.428643
5.611754 6.325378
5.580278 6.35425
6.146084 7.461869
6.683353 7.641139
6.380299 7.828692
7.05377 9.172047
7.708896 9.462203
6.626124 6.986008
5.121302 5.985464
3.969661 4.608355
3.576079 4.9674
2.980255 4.680082
3.721012 5.002318
3.754309 5.519974
3.590221 4.383997
3.981261 4.308181
4.841119 5.248687
3.776234 5.96659
3.776132 5.749399
5.059402 5.555973
6.507111 7.417766
7.446756 7.867941
5.472218 6.509902
7.050485 8.289802
6.603586 7.454057
6.881132 8.294699
6.22457 7.447715
5.836789 6.683309
6.05663 6.161871
5.020758 6.867406
4.299402 4.843127
5.149665 6.40329
3.95613 6.089745
3.091278 3.832414
3.283998 4.316023
4.417037 5.540081
4.02911 5.476194
4.339138 5.763484
6.091142 7.410985
7.109045 8.542119
7.210442 8.886001
5.104492 6.813333
5.054425 6.064278
5.486931 7.270892
5.945661 7.612407
5.554872 7.008228
7.896226 9.042557
8.196132 9.291587
7.900552 9.182282
8.489258 10.40619
8.895514 9.995666
10.0108 10.68344
10.02711 10.73016
9.265271 10.91477
9.932484 10.80898
11.66843 14.0345
12.10566 13.95832
11.72534 13.00569
10.63909 12.47099
10.99679 12.37687
11.94561 13.21032
11.24314 12.63934
11.86852 13.1258
11.96216 13.38626
12.12448 13.56508
11.96494 13.69143
13.53515 14.56229
13.53755 13.99226
13.23523 13.59429
13.09632 14.01221
11.32656 12.29317
9.152573 10.59973
11.29562 12.46022
11.70797 13.62383
13.76074 14.59905
13.83517 13.34737
11.67392 13.33523
12.59881 13.59028
13.24977 14.85178
14.38505 16.66062
15.16276 15.89098
12.91928 14.83089
13.69048 14.63575
12.38102 13.76064
12.41903 13.76139
13.2209 14.11489
12.547 13.61926
10.8116 12.28153
10.69065 12.26826
9.954979 11.17418
9.947792 10.77846
10.58529 10.74331
9.77603 10.93101
10.06908 11.68137
10.17184 11.55487
10.84152 12.00392
9.133419 10.92132
8.090992 8.710532
7.630832 8.740589
8.036069 8.870069
8.746841 9.444783
7.333925 9.375929
8.986346 9.826715
10.82475 11.06757
9.72939 11.21579
9.167033 12.03144
10.76379 11.51071
11.95288 13.0806
10.91918 12.32758
12.27893 13.36047
11.96885 12.57636
12.369 15.41546
13.15038 13.75062
11.98323 12.92294
12.43076 14.15923
12.53014 13.43124
13.4228 15.34349
15.59553 16.06766
13.45157 16.23402
14.11931 14.26613
15.33038 16.0764
16.21144 16.93179
15.41446 16.2862
14.49529 16.12981
16.44381 17.26364
14.82181 16.65236
15.7135 16.75751
15.09198 16.76508
15.21652 16.77023
14.58967 16.2593
14.65726 15.5349
14.21714 15.38475
13.9157 15.80663
14.81573 14.64079
13.44772 15.68404
12.79287 13.74742
13.60195 13.27066
13.6884 13.77396
12.77717 13.67208
13.22343 14.07241
13.02058 14.36859
13.04393 14.42518
12.84458 14.29971
11.22039 13.52345
13.05046 13.48493
14.16746 14.76364
13.26419 14.65775
13.52499 14.86609
12.76624 14.47742
12.79871 14.19323
12.28363 13.93549
13.26357 14.35245
13.33629 13.7566
12.03546 13.24026
12.09174 13.92595
12.73715 13.93925
12.56306 14.35299
12.86922 13.23043
12.17674 13.82525
13.28236 14.14857
12.91403 13.80162
12.67429 14.00225
13.11758 13.81235
11.11813 12.499
10.76461 11.61469
10.10439 10.82218
10.65983 11.26892
9.664714 10.94192
8.845361 10.95213
7.364379 8.382022
7.636539 9.840432
7.157125 8.495589
5.79633 6.137225
6.755909 8.225405
7.635966 9.250386
7.199345 8.503657
7.158753 8.314492
7.575758 8.793342
7.379351 8.223222
7.16038 7.979562
6.510054 7.689853
6.526723 8.235554
5.79091 6.798431
5.388926 7.014963
5.450471 6.753378
4.780418 6.68895
4.827284 6.200937
4.069698 5.168679
3.904459 5.429667
3.497818 4.243776
2.968112 4.056499
0.9602032 2.68827
1.66255 2.496933
-0.03600981 1.133718
-0.08814645 1.429814
0.7159826 1.073811
0.7600873 2.165716
1.920112 3.012019
1.09043 3.298306
1.77984 3.04793
1.695304 3.325748
1.680147 3.513607
3.05082 4.156989
3.268876 4.797514
4.19072 5.500632
4.967416 5.57062
4.627083 6.589966
4.781213 5.500264
4.028628 5.261933
4.020508 4.173265
4.434222 4.721022
6.499288 7.555501
6.363976 6.736508
5.971288 6.90723
6.0907 7.023814
6.585849 7.822898
7.281862 8.529043
7.774634 8.162352
7.288456 8.305863
8.511592 10.11038
8.900178 10.50181
10.19074 11.46907
10.3627 11.74793
9.343175 10.42829
9.573181 9.74759
9.244606 10.27151
7.961522 10.20805
7.50323 9.590225
8.301877 9.253368
8.237976 9.451152
9.403415 10.72485
9.002671 10.54253
10.42132 11.60976
10.44121 11.76486
10.07857 11.7652
9.861394 11.6879
11.46628 11.95077
12.39892 12.97436
12.17181 13.56389
13.14415 14.38633
13.05334 14.32855
12.99897 14.21087
12.83662 13.7556
10.66138 12.63738
11.05208 11.63942
10.33939 11.38908
9.255247 10.67229
9.009581 10.2247
10.38532 11.27773
11.05839 12.51555
12.56569 14.01032
11.53208 12.43158
11.80704 12.39457
11.63453 13.87623
10.61789 12.39765
12.01388 13.07344
11.37742 12.95517
11.7923 12.69504
11.41482 13.58562
13.37275 13.65435
13.76481 14.38922
13.64677 14.95158
11.89366 12.3807
11.17236 12.12552
11.59762 11.60031
10.16233 11.74653
9.423582 10.27438
7.886217 9.459918
6.716014 8.712546
6.390736 7.907975
7.070524 7.93935
6.99663 7.088188
7.59019 9.07131
7.977839 9.671431
8.62331 10.24226
7.898622 9.62426
8.747077 10.00598
9.339048 9.33169
6.992109 9.544614
7.917031 9.504823
8.493769 8.701844
8.268173 9.624576
8.000369 9.708524
7.461337 7.773047
7.249857 9.336068
7.680459 8.289727
8.106522 9.279107
7.751157 9.330095
8.42137 9.490475
9.58317 11.35543
8.499365 10.1523
8.589594 9.33315
9.910653 11.56032
9.033207 11.44615
9.351357 10.26327
9.199575 10.64124
11.1205 12.02877
10.64274 11.3671
9.539035 10.61627
10.39484 10.90849
10.58646 10.62726
8.922076 10.55147
9.531841 11.26505
11.24033 12.31559
11.2649 12.19039
10.3165 11.3079
11.29391 12.29203
10.95857 11.50593
10.35567 11.45149
9.59597 10.94811
8.823364 10.188
9.054046 11.30391
9.195987 10.12498
7.116318 8.074146
8.70716 9.683092
8.686752 8.347327
7.153543 8.14108
7.501996 9.276977
7.627996 8.862101
7.911043 8.974591
6.19577 7.905027
5.917146 7.615282
6.378953 6.50745
6.704114 7.525581
6.613294 6.674074
5.340427 7.324402
4.859505 6.553603
6.337986 7.66457
5.245538 6.082427
6.373752 6.778464
7.044672 7.611127
7.034338 7.514307
6.455547 7.580803
5.021958 5.858087
3.87408 4.78873
4.015348 5.55935
3.706807 4.303185
3.6711 5.944384
3.791345 4.910085
3.53419 4.684133
4.183962 5.835087
3.393494 4.587604
4.595662 6.096494
4.264096 5.286082
3.163445 3.999516
3.080625 4.773504
3.054567 3.593335
1.767855 3.085097
2.989857 3.455785
2.8682 4.144159
3.43636 5.4383
3.41122 4.575808
4.146011 5.186358
4.23866 6.966257
3.535642 5.320252
3.644493 4.206036
4.017146 4.749133
3.176708 4.417673
4.051207 5.167712
3.88931 4.776736
3.473978 4.939368
3.455941 4.76538
4.263208 5.538402
4.594092 5.85688
4.419918 5.456849
3.919193 6.304148
3.864679 4.748139
5.656061 7.376733
5.938305 7.213914
5.769644 6.400433
5.995092 6.168602
6.338278 7.833355
6.311521 7.421163
6.321094 6.843469
6.047601 7.574858
6.741665 8.709508
7.106877 9.08151
7.046201 9.472028
7.433249 9.604944
8.354382 9.060076
5.360158 6.656174
5.773832 8.23717
5.203259 6.26325
5.380784 6.502859
5.564356 6.95359
4.76072 6.669763
4.431508 4.669813
3.239519 4.540195
3.379613 4.670612
3.702358 5.198958
4.387941 5.088532
4.77132 6.368557
5.764721 6.505841
6.681471 8.433792
7.587137 8.700681
7.339392 8.768025
7.084537 8.949282
7.858032 8.66145
7.746022 9.414571
8.903699 10.30158
9.073511 10.80675
10.15965 11.50838
8.75991 9.887397
8.474281 9.312896
7.27222 8.967872
6.268512 7.396578
7.402878 7.442588
7.040122 8.318185
6.785763 8.027602
5.056953 6.95477
4.250928 5.43438
2.217585 3.459889
2.555404 2.993314
1.123781 2.197311
0.8654561 2.037814
-0.6464455 0.6090776
0.6456037 1.32804
0.3622999 1.739591
0.3808599 2.019405
1.566016 3.344421
-0.08740558 2.203642
2.140275 2.434053
2.401218 3.452682
1.834138 3.836071
3.267004 3.10956
1.258357 2.240668
1.887337 3.505162
1.970415 3.380047
2.432791 3.35785
2.392031 3.561815
1.659074 4.167876
2.900778 3.33665
3.080784 4.173453
2.239043 4.036061
2.036881 3.864022
0.8575685 2.663527
1.142769 2.444416
1.31813 2.867794
0.1300931 1.928235
0.7921972 1.995691
1.552605 3.607216
0.8536789 2.471087
2.906886 4.196982
3.335216 4.355987
3.410146 5.504421
3.408578 5.49227
4.05034 4.191802
3.952207 4.466662
3.703057 4.968115
3.495915 4.810648
3.690539 4.015525
5.101637 6.058817
5.828148 7.027371
5.119721 5.782615
5.107434 6.697861
6.877028 7.763366
5.851004 7.254825
5.13329 6.896616
7.893358 9.234614
7.291505 8.797842
6.845954 8.13071
7.994547 8.113966
8.067611 9.186903
7.738885 9.323719
9.552737 9.100105
6.657269 7.17635
5.603901 5.799627
4.399953 5.74315
3.118425 2.969678
3.347344 4.149375
4.279211 5.156538
4.889009 5.934233
2.548972 3.923986
1.903818 3.137561
1.445048 3.089442
1.735391 3.019903
2.642226 4.225704
1.369965 3.574616
1.039995 2.044164
1.032609 2.504394
1.055416 2.289809
-0.06286392 2.581038
0.945324 1.894638
1.283169 1.901186
1.28273 2.094516
1.040527 2.046685
0.05767544 1.23341
0.5620621 2.136135
0.6918662 0.4697433
-0.4389749 0.6240671
0.7215735 1.319847
1.982454 3.208851
2.56094 4.484492
3.229853 4.763993
3.915533 4.862847
2.915531 3.819314
2.912651 5.165417
3.948541 4.85331
3.791623 5.141645
1.973462 4.76293
2.786473 3.309799
0.6115921 2.376156
0.01725791 0.0656786
-0.4250302 0.8207095
-1.800116 -1.023027
-1.566881 -0.8220012
-1.91998 -0.3169396
-1.933963 -1.431767
-2.319547 -0.04009905
-1.41178 0.1281965
-3.351909 -1.9896
-2.899357 -2.121892
-2.399392 -0.6098435
-1.589852 -0.9430951
-2.367329 -0.9389094
-4.774296 -4.500239
-6.112991 -4.479369
-5.962077 -5.044879
-5.462505 -4.308959
-4.88086 -3.05565
-4.417859 -4.017676
-4.216908 -3.538982
-4.181108 -3.104248
-4.192956 -3.32407
-2.853796 -1.773893
-2.677337 -0.9091767
-1.968184 -0.9837747
-2.263715 -1.276401
-2.244351 -1.385741
-2.237237 -1.144299
-0.942893 0.1636231
-2.40354 -0.2419642
-1.759501 -0.3681595
-2.496749 -1.427446
-2.598226 -1.29073
-2.57942 -1.3007
-2.192591 -0.3976167
-1.290772 -0.140087
-3.074848 -2.868147
-3.577969 -3.066958
-3.952506 -3.161287
-4.784422 -2.47
-5.072791 -2.907146
-4.866183 -4.024475
-5.021615 -3.344716
-4.238927 -3.003279
-4.884092 -2.8703
-3.651786 -3.072264
-3.944065 -2.201722
-2.852134 -1.576742
-1.276546 -0.4196969
-0.8674211 0.6601987
-0.6453721 0.601895
-1.191649 0.07916912
-1.428088 -0.0543
-1.010906 0.8679683
-0.7547081 0.1864674
-0.4285454 0.8224401
-0.8799604 0.1698435
-0.886817 0.3932663
0.17728 1.461775
0.32302 1.84158
-0.5102006 1.55276
-0.8822467 0.5172448
0.7056481 0.8789653
0.0784863 1.14788
0.3365601 1.949726
0.7589452 1.710622
1.183786 2.372769
2.050909 3.57628
1.310384 2.94005
1.165704 2.301551
1.54947 3.247816
-0.5248866 2.431455
0.6841623 0.5021624
-0.3779682 1.003765
-1.490334 -0.7870486
-2.496721 -1.525757
-1.790434 -0.9961795
-1.942784 -1.025109
-2.224273 -0.9599105
-3.798334 -1.486153
-2.972302 -2.067614
-3.796896 -3.063226
-4.692276 -3.733585
-4.74906 -2.645171
-3.988998 -2.929334
-3.116801 -2.317018
-3.704359 -2.380318
-3.47857 -1.692731
-4.77526 -2.664534
-3.920388 -2.174462
-3.903218 -1.998622
-3.204781 -1.938806
-2.224571 -0.9593952
-2.202531 -1.66968
-3.112425 -1.595175
-2.784155 -1.721507
-3.512191 -2.021873
-3.70655 -2.636431
-3.649879 -2.806833
-2.790463 -2.747738
-3.594353 -2.023699
-3.32437 -2.299928
-3.44765 -1.974782
-2.576162 -0.7699599
-0.6533942 0.7897136
0.8447172 0.7914274
-0.1129245 1.826934
0.2171296 1.463389
0.5025851 1.863712
0.8276438 2.603793
0.4023679 1.624469
0.383734 1.443709
0.0744717 2.036739
-0.1808405 1.276548
-0.3875687 -0.1324713
-1.022034 0.3601633
-1.242585 0.000690245
-1.27499 -0.5897063
-2.19943 -1.41855
-1.512241 -0.5520994
-0.4675601 -0.2126436
-0.4459921 0.8686111
-2.203497 -0.2229104
-2.229377 -1.216441
-1.220348 0.2305259
-0.8781194 -0.4669506
-0.4368832 1.073732
0.5211816 1.955335
0.919438 1.735317
0.5173539 2.446862
1.58119 2.017288
0.2680222 2.668841
-0.7173788 0.9680595
-0.5398622 2.229285
1.972095 2.912828
1.654252 3.729916
1.527486 3.240536
4.825227 5.111778
5.792331 5.990546
5.231329 6.82906
6.07309 7.260672
5.285164 6.905757
5.055373 6.124007
4.182322 5.503646
4.147261 5.552568
4.572388 5.579244
5.223139 6.173655
4.78957 5.949031
5.351777 6.073985
6.17958 7.929317
7.189936 8.628488
7.488421 8.60872
6.316982 8.345601
7.301339 8.338482
6.291713 7.603148
7.253585 8.804338
7.064923 9.146945
8.899736 8.936518
9.448349 11.14496
9.262918 10.13654
9.643255 12.02792
10.10433 12.06416
9.321185 10.81116
9.368944 10.41564
8.714251 9.809037
9.488378 11.33918
11.33347 11.15485
10.28527 11.35705
9.810455 11.11565
8.63235 10.20638
7.65486 8.691278
8.00191 8.781923
8.400021 9.760629
8.16518 9.601672
9.98967 11.452
10.28742 11.67513
9.772579 10.60096
9.319653 10.29416
10.43108 11.85923
13.00533 13.58839
12.47225 13.90585
10.28569 11.42834
10.09987 11.52783
9.655482 11.30154
8.944913 11.13177
8.647752 9.859494
8.8578 11.10074
8.435548 10.47499
8.099091 9.697802
8.86586 8.447189
8.310201 10.37786
7.06257 8.572035
5.925737 7.348397
5.87549 6.546464
5.602872 7.040864
5.043248 5.868
3.283474 4.123332
3.257249 4.631656
3.312287 5.807336
2.061856 4.223991
3.687522 5.321943
3.391308 3.977199
3.417185 4.943128
3.252851 4.238704
2.397694 3.417303
1.926931 3.106749
2.956277 4.319044
2.956362 3.838404
2.839979 4.378193
