factor(envID)5 factor(envID)6
0.02945691 1.78878
-0.4064219 1.701293
-1.231237 0.4976224
-1.067984 1.850677
0.3768419 2.736966
1.650988 3.792925
1.932737 2.80341
0.7855384 1.948766
-0.5942047 2.297007
-0.423549 0.6603221
0.1395524 2.554285
1.088713 3.048765
-0.2180441 2.505599
-1.473954 1.442554
-1.356114 1.071833
-3.147776 0.8646955
-1.35243 0.2572049
-3.184141 -1.52596
-3.283965 -0.6298794
-4.708734 -2.585359
-6.56295 -4.739236
-7.831772 -5.789374
-7.598039 -5.850244
-7.987601 -4.899192
-9.637368 -6.522993
-7.865059 -6.660682
-8.495711 -6.465572
-11.26645 -7.832827
-10.13745 -8.749704
-10.04486 -7.250215
-10.45058 -8.377223
-9.910576 -8.052041
-10.02686 -7.752361
-10.66428 -8.979837
-11.45098 -9.289201
-11.46732 -9.02727
-9.891153 -8.061258
-9.771867 -8.061895
-8.936888 -7.034371
-7.660176 -6.082796
-9.442332 -6.376505
-9.919542 -8.132375
-10.4962 -9.54823
-13.48884 -10.89951
-13.97149 -11.49336
-13.94115 -11.76136
-13.71638 -12.08383
-13.61134 -11.0708
-12.97517 -11.22537
-12.5455 -10.31838
-10.95468 -8.26197
-10.25186 -7.364522
-8.673205 -7.380779
-9.513656 -6.965701
-9.213863 -6.822473
-9.353775 -5.824208
-10.24792 -7.043037
-10.15731 -7.702635
-10.98057 -8.584578
-12.61393 -9.801246
-12.97783 -9.266303
-10.50166 -8.860088
-11.23136 -8.420367
-9.86174 -8.478455
-11.12793 -9.046846
-10.83215 -6.971804
-8.223988 -6.295858
-9.825024 -7.135462
-9.773443 -7.661854
-10.75552 -8.495466
-10.80799 -8.609879
-10.96892 -7.779065
-9.76126 -6.774129
-10.84049 -8.639218
-11.40518 -8.609092
-11.46687 -8.318112
-11.28827 -8.448956
-10.69193 -8.664405
-10.58917 -8.204648
-11.6961 -8.802331
-12.15206 -9.325258
-12.53987 -10.42503
-13.48315 -11.68006
-13.6481 -10.82138
-12.01209 -9.415189
-13.75451 -11.42405
-14.00597 -11.48436
-14.16946 -11.12371
-13.20988 -13.10984
-14.0779 -12.10141
-14.38756 -12.30535
-14.84894 -12.16046
-15.12727 -12.63019
-15.89675 -13.48889
-14.70614 -12.90964
-14.51838 -12.83644
-16.60408 -12.85324
-17.31321 -14.00359
-17.84718 -16.36985
-18.98733 -16.21419
-18.28672 -15.15833
-16.94195 -14.79629
-16.54358 -13.61829
-17.52912 -14.73491
-18.94379 -15.96383
-20.61238 -18.14738
-21.58511 -18.65603
-20.51507 -18.89517
-21.20677 -18.9675
-22.82082 -20.7589
-22.47717 -20.15372
-23.30601 -21.46756
-22.67235 -20.44748
-23.39271 -20.99756
-23.94049 -21.1924
-24.14655 -23.0133
-25.31453 -22.55293
-25.06073 -23.04204
-26.87382 -25.06163
-26.84521 -24.74066
-27.36936 -25.21651
-27.72069 -26.56395
-25.92974 -23.01
-25.04674 -22.39501
-21.52945 -20.25249
-24.02747 -21.08322
-23.01971 -20.38651
-24.14118 -22.14404
-24.15705 -21.71838
-24.31524 -21.03529
-23.97054 -22.28123
-23.96809 -21.36881
-24.65901 -22.24645
-24.94492 -22.39227
-24.54149 -22.05369
-24.87418 -21.83826
-24.63508 -22.33182
-26.43282 -24.0404
-26.17451 -24.20857
-26.17306 -24.51064
-25.64863 -24.26895
-26.82043 -24.87122
-28.11582 -26.43221
-28.89601 -26.37072
-28.79128 -26.28899
-28.80467 -25.76375
-27.66851 -24.77862
-27.16469 -24.90831
-27.20989 -24.68454
-26.22405 -24.42171
-26.13284 -23.50985
-25.70098 -22.01583
-23.63362 -20.82242
-23.52109 -20.76589
-22.28163 -20.48707
-22.79919 -19.74834
-21.92795 -20.08459
-23.48442 -20.81959
-23.95688 -21.94893
-24.8713 -21.49482
-24.76878 -21.71565
-24.96911 -22.38407
-24.10639 -21.12626
-23.27548 -21.03211
-23.14908 -20.77105
-23.60015 -21.91116
-24.16061 -20.33571
-23.62048 -22.19184
-25.47434 -22.99769
