factor(envID)4 factor(envID)5
0.6430127 -0.3387205
2.561309 0.5647279
3.123035 2.362578
4.005299 2.21441
3.713152 2.553877
4.624726 3.531645
5.398879 4.128834
5.371243 4.848653
5.717866 3.953576
6.33967 5.351911
7.134374 6.725319
7.656963 5.136449
6.738587 5.595468
6.288157 4.488613
5.674857 4.57541
5.903846 3.716045
4.346931 3.490594
5.265411 3.140612
5.987674 4.259915
6.294025 5.129885
6.104805 4.424989
5.302291 3.850649
5.705754 4.61377
5.751125 4.434962
5.336518 4.203479
5.828638 4.779315
5.950765 4.38568
4.922511 4.358983
6.053967 4.921239
5.203666 4.041862
5.743673 3.866608
4.692263 3.468815
4.893094 4.040371
6.69075 4.712186
5.874395 4.343538
6.234835 4.339722
6.316206 5.159385
6.259467 4.989483
6.585825 5.405992
6.302745 4.929989
6.580733 4.701798
6.755373 4.69163
6.162829 4.936373
5.709932 5.296081
5.859177 4.578548
5.974781 4.218353
5.450312 4.692733
5.274606 4.314129
6.806707 5.545675
7.254478 5.617182
8.189753 6.898547
7.825024 6.223113
6.901047 6.136335
7.278374 5.194809
7.028932 5.730511
6.73047 5.461101
6.329179 5.504692
5.784082 4.643884
4.687274 2.600941
5.210244 4.098089
6.215829 4.923109
7.345988 6.477137
8.423656 6.302902
8.030427 6.449934
7.761442 6.828695
7.384781 6.361518
6.562596 5.739884
6.889049 5.21026
7.076187 5.861793
7.407795 6.752739
7.00215 6.42
7.81646 5.82327
7.324282 5.950628
7.119995 4.85192
6.229191 5.281961
6.685482 4.80765
6.197128 4.861316
6.930784 5.528061
6.735582 5.354431
5.865835 4.861752
6.66198 5.941961
7.742607 5.775265
6.679654 5.199867
7.214219 6.192717
7.81577 5.545844
6.13163 4.95175
8.150696 6.47975
8.605511 7.643454
8.441697 7.316194
8.710702 7.790521
9.590534 8.69605
8.710756 6.69147
7.312792 6.602242
7.305697 6.526598
7.561004 6.383787
8.066578 5.586007
8.154431 6.073966
6.029808 5.295616
6.413133 5.325467
7.24099 5.869331
8.748378 7.090312
7.663956 6.473073
7.221553 6.329403
6.762881 5.154661
6.984096 6.184519
8.103224 6.951918
7.573926 6.143248
8.101957 7.29368
8.809265 8.37654
10.07372 7.913284
10.49859 8.777683
9.783141 8.955637
11.5987 9.85416
11.14928 9.745067
10.54639 9.214747
11.17388 9.582431
12.01578 10.10714
12.51133 10.77853
12.96718 11.44235
12.4798 11.29382
12.96764 11.50316
12.52071 10.97756
13.24812 11.69447
13.54248 12.23438
14.10092 12.52495
13.68736 12.21354
14.68802 13.26884
14.69966 13.09148
15.19151 13.9275
15.78123 14.56811
16.64342 15.05853
15.55283 14.80584
15.33255 13.89442
14.76439 13.10281
15.74669 13.8297
15.15593 13.80044
15.72152 14.6065
15.90175 13.49015
14.81646 13.91124
13.2943 12.53364
13.41323 11.67658
14.38055 12.85825
14.16161 13.82935
14.18509 13.45206
14.73774 13.5461
13.68827 12.70454
12.61223 11.79183
13.19263 12.19712
13.59265 12.35003
13.69453 11.66697
13.52516 11.57567
13.98348 13.16731
13.61217 12.47135
13.70203 12.30318
13.69033 12.40605
13.75755 12.59821
13.58054 12.40433
13.50136 11.62063
13.41847 12.40648
12.67051 11.66397
11.83454 10.83925
12.63546 12.11744
12.23583 11.42704
12.38087 10.97077
11.83125 10.96445
11.29961 9.992641
10.82326 9.25808
11.14286 10.20041
11.6142 11.45704
11.36552 9.639977
11.50984 10.09527
11.24369 10.16124
11.90259 10.36913
13.37244 12.10099
14.84442 12.92659
14.72721 13.86737
15.76412 14.17614
15.36902 14.25569
15.57998 14.18407
16.7422 15.28308
16.95062 15.69299
16.95163 16.5416
18.0483 17.19924
17.22368 16.70978
18.4946 16.21904
17.90894 16.84165
17.08481 15.99187
16.19794 14.49677
16.00612 15.10239
16.03058 14.41624
16.67274 14.61964
16.82429 15.69434
16.69269 14.1353
